subdomain,base_domain,web_ports,services_count,has_http,has_https
dns01.mega.cl,mega.cl,"80,443,8080,8443",4,True,True
dns01.meganoticias.cl,meganoticias.cl,"80,443,8080,8443",4,True,True
dns01.megatiempo.cl,megatiempo.cl,"80,443,8080,8443",4,True,True
dns02.benzahosting.cl,benzahosting.cl,"80,443",2,True,True
dns02.mega.cl,mega.cl,"80,443,8080,8443",4,True,True
dns02.meganoticias.cl,meganoticias.cl,"80,443,8080,8443",4,True,True
dns02.megatiempo.cl,megatiempo.cl,"80,443,8080,8443",4,True,True
dns03.mega.cl,mega.cl,"80,443,8080,8443",4,True,True
dns03.meganoticias.cl,meganoticias.cl,"80,443,8080,8443",4,True,True
dns03.megatiempo.cl,megatiempo.cl,"80,443,8080,8443",4,True,True
dns1.bancochile.cl,bancochile.cl,"80,443,8080,8443",4,True,True
dns1.hosting.cl,hosting.cl,"80,443",2,True,True
dns1.ihost.cl,ihost.cl,"80,443",2,True,True
dns1.powerhost.cl,powerhost.cl,"80,443",2,True,True
dns1.virtualhosting.cl,virtualhosting.cl,"80,443",2,True,True
dns10.hosting.cl,hosting.cl,"80,443,8443",3,True,True
dns2.bancochile.cl,bancochile.cl,"80,443,8080,8443",4,True,True
dns2.doctoralia.cl,doctoralia.cl,"80,443",2,True,True
dns2.hnc.cl,hnc.cl,"80,443",2,True,True
dns2.hostingplus.cl,hostingplus.cl,"80,443",2,True,True
dns2.ihost.cl,ihost.cl,"80,443",2,True,True
dns2.powerhost.cl,powerhost.cl,"80,443",2,True,True
dns2.virtualhosting.cl,virtualhosting.cl,"80,443",2,True,True
dns3.hosting.cl,hosting.cl,"80,443",2,True,True
dns3.hostingplus.cl,hostingplus.cl,"80,443",2,True,True
dns3.planetahosting.cl,planetahosting.cl,"80,443",2,True,True
dns3.powerhost.cl,powerhost.cl,"80,443",2,True,True
dns4.hosting.cl,hosting.cl,"80,443",2,True,True
dns4.planetahosting.cl,planetahosting.cl,"80,443",2,True,True
dns4.powerhost.cl,powerhost.cl,"80,443",2,True,True
dnsonly.powerhost.cl,powerhost.cl,"80,443",2,True,True
dnssec.lab.nic.cl,nic.cl,"80,443",2,True,True
